,监测时间,监测因子,监测日期,折算浓度,标准浓度,pscode,mpcode
96,2020-01-20 00:00:00,二氧化硫,20200120,10.79,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
97,2020-01-20 00:00:00,氮氧化物,20200120,115.38,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
98,2020-01-20 00:00:00,一氧化碳,20200120,7.58,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
99,2020-01-20 00:00:00,氯化氢,20200120,1.75,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
100,2020-01-21 00:00:00,颗粒物,20200121,3.88,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
101,2020-01-21 00:00:00,二氧化硫,20200121,11.41,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
102,2020-01-21 00:00:00,氮氧化物,20200121,120.74,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
103,2020-01-21 00:00:00,一氧化碳,20200121,2.35,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
104,2020-01-21 00:00:00,氯化氢,20200121,2.01,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
105,2020-01-22 00:00:00,颗粒物,20200122,4.0,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
106,2020-01-22 00:00:00,二氧化硫,20200122,10.72,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
107,2020-01-22 00:00:00,氮氧化物,20200122,117.53,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
108,2020-01-22 00:00:00,一氧化碳,20200122,3.75,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
109,2020-01-22 00:00:00,氯化氢,20200122,2.5,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
110,2020-01-23 00:00:00,颗粒物,20200123,3.98,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
111,2020-01-23 00:00:00,二氧化硫,20200123,10.45,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
112,2020-01-23 00:00:00,氮氧化物,20200123,116.37,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
113,2020-01-23 00:00:00,一氧化碳,20200123,3.6,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
114,2020-01-23 00:00:00,氯化氢,20200123,2.44,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
115,2020-01-24 00:00:00,颗粒物,20200124,3.8,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
116,2020-01-24 00:00:00,二氧化硫,20200124,11.52,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
117,2020-01-24 00:00:00,氮氧化物,20200124,119.21,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
118,2020-01-24 00:00:00,一氧化碳,20200124,3.19,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
119,2020-01-24 00:00:00,氯化氢,20200124,3.06,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
120,2020-01-25 00:00:00,颗粒物,20200125,3.88,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
121,2020-01-25 00:00:00,二氧化硫,20200125,11.17,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
122,2020-01-25 00:00:00,氮氧化物,20200125,120.84,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
123,2020-01-25 00:00:00,一氧化碳,20200125,1.91,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
124,2020-01-25 00:00:00,氯化氢,20200125,3.45,50,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
125,2020-01-26 00:00:00,颗粒物,20200126,3.98,20,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
126,2020-01-26 00:00:00,二氧化硫,20200126,11.1,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
127,2020-01-26 00:00:00,氮氧化物,20200126,105.97,250,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
128,2020-01-26 00:00:00,一氧化碳,20200126,2.17,80,0D5F210D2E72049F94F5EB7E053E76EC,0D5F210D2E72049F8E11D4A27EB7E1F6
